"advert_name","advert_price","advert_height"
"BARFIELDS TAVY, A 2 Y/O DARK BAY GELDING","£ 995","14.1 hands"
"WOULD YOU LIKE TO BREED YOUR OWN FOAL - MARES AVAILABLE WHICH CAN BE COVERED BY STUD STALLION","£ 1,495","0 hands"
"Yearling with top dressage potential","£","0 hands"
"Gorgeous palomino warmblood filly","£","0 hands"
"Impressive chestnut gelding by Furst Toto","£","0 hands"
"Stunning Quality Connemara","£ 2,500","0 hands"
"Normandy Cobs - direct from breeder!","£","0 hands"
"172cm Scopey 2*/1.30m horse","£ 27,000","0 hands"
"Brave Irish Hunter","£ 5,500","0 hands"
"Irish Sports Horse Filly","£ 1,450","16.2 hands"
"Dark Bay Irish Sports Horse Filly","£ 1,450","16.2 hands"
"Super 14.1 Connemara Event Pony 13yrs","£ 5,500","0 hands"
"13hh Jumping pony/ Allrounder","£ 3,500","0 hands"
"LORD LEATHERDALE, NEGRO, SANDRO HIT, DIMAGGIO - Fab Dressage 2020 Filly","£ 7,500","17 hands"
"FRANZ FERDINAND x DANCIER x BELISSIMO M, Beautiful 2020 Filly","£ 7,500","16.2 hands"
"Quality IDSH Filly","£ 3,000","16.2 hands"
"Future star connemara","£ 4,500","14.1 hands"
"Magef May Flower","£ 550","11.3 hands"
"Extremely attractive yearling filly","£ 1,100","0 hands"
"Coloured filly foal superb breedings","£ 2,500","15 hands"
"12.2 companion pony","£ 200","0 hands"
"Serious event prospect by Silvester","£ 5,750","16.2 hands"
"stunning JAMESON RS2 filly","£ 10,000","16.2 hands"
"14 hh Irish Gelding","£ 3,250","0 hands"
"WELSH SEC D GELDING","£ 6,500","0 hands"
"Good Big Strong Boned Irish Draught Filly","£ 2,250","16.2 hands"
"Connemara x Cob yearling Filly","£ 1,250","15.2 hands"
"Rose Grey Irish Draught x Connemara yearling Filly","£ 1,750","15.2 hands"
"Beautiful 14.2hh Fell X Connemara schoolmistress For Sale","£ 1,950","0 hands"
"Irish Draught x Connemara Dun yearling Filly","£ 1,750","15.2 hands"
"Irish Draught x Connemara yearling Filly","£ 1,750","15.2 hands"
"Loving Home awaits","£ 5,000","15 hands"
"Quality Showjumper/ All-rounder","£ 5,950","16.1 hands"
"Registered Irish Draught X Connemara Filly To Mature 16 hh","£ 2,250","16 hands"
"Ideal All Rounder","£ 4,000","14.3 hands"
"Stunning yearling by SSF Romeo (Negro)","£ 3,250","0 hands"
"Wanted. A happy hacker/companion","£ 111,111","0 hands"
"Riding 2yrs Gelding Sandro Hit lines","£ 4,995","16.2 hands"
"Quality Sportshorse SJ/ Event/ Dressage","£ 12,950","0 hands"
"Big strong colt","£ 5,500","0 hands"
"Part Bred Cleveland Bay","£ 2,250","0 hands"
"TOP DRESSAGE PROSPECT","£ 5,500","14.3 hands"
"Stunning Warmblood yearling filly","£ 2,500","16.2 hands"
"Homebred Sports Horse (2019) filly 2 make 16hh by Dick Z","£ 2,000","16 hands"
"Exceptional showjump/event filly foal","£ 3,750","16.1 hands"
"Homebred warmblood 2019 colt to make 16:2hh proven breeding","£ 3,000","16.2 hands"
"Super athletic bay warmblood colt","£ 2,200","16 hands"
"Mother Daughtet share / Pony clubber","£ 6,500","15 hands"
"Striking Coloured Yearling Filly","£ 2,750","16.2 hands"
"Super quality eventer/all rounder","£ 2,500","16.2 hands"
"Absolutely Outstanding Colt","£ 2,650","16 hands"
"One of a Kind Sports Filly","£ 3,000","16 hands"
"SOLD Very Well Bred Pure Irish Draught Colt","£ 2,500","16 hands"
"Registered Irish Draught X Connemara Gelding To Mature 16 hh","£ 2,250","16 hands"
"Noah semi long haired cream dun","£ 450","10 hands"
"Noble cream dun","£ 450","11 hands"
"Super Dressage Prospect Horse","£ 3,500","16 hands"
"Beautiful 15hh coloured gelding SOLD","£ 3,000","15 hands"
"ISH yearling gelding","£ 2,500","0 hands"
"Fantastic performance horse for the future","£ 2,250","0 hands"
"Fantastic all rounder pony for sale based in Worcestershire","£ 2,600","12.3 hands"
"Dark bay colt","£ 2,300","13.2 hands"
"Stunning chestnut yearling. By the Dimaggio x Floristan son Diaggio out of a Breitling x Blue hors cavan mare.","£ 7,500","0 hands"
"*sold deposit taken* Smart yearling filly WBxISH","£ 1,800","16.1 hands"
"Well bred part bred filly","£ 1,950","16 hands"
"17hh chestnut gelding","£ 5,000","17 hands"
